customerCode,customerName,customerCurrency,salesEmployeeName,paymentTerm,billingAddress,shippingAddress,creationDate,firstInvoiceDate,lastInvoiceDate
COME4,Computer Merchants Pty Ltd,AUD,Jennifer Chen,COD,"144 Bluestone Circuit, Seventeen Mile Rocks QLD 4073 Australia","144 Bluestone Circuit, Seventeen Mile Rocks QLD 4073 Australia",29/06/2020,,
COMG8,City of Mount Gambier,AUD,Karen Riddell,COD,"PO Box 56, Mount Gambier SA 5290 Australia","PO Box 56, Mount Gambier SA 5290 Australia",29/06/2020,,
COMTDA,Comtec Data Pty Ltd,AUD,Kurt Schober,Net 30 Days,"Lot 1, 2575 Augustus Drive, Karratha WA 6714 Australia","Lot 1, 2575 Augustus Drive, Karratha WA 6714 Australia",27/06/2021,30/08/2021,26/03/2025
CONA2,Consoft Automation Pty Ltd,AUD,Karen Riddell,COD,"3/314 Kiewa Street, Albury NSW 2640 Australia","3/314 Kiewa Street, Albury NSW 2640 Australia",29/06/2020,,
CONEA2,Controlled Earthworks Pty Ltd,AUD,Kurt Schober,COD,"104 Park Road, Angus NSW 2765 Australia","104 Park Road, Angus NSW 2765 Australia",12/09/2024,12/09/2024,12/09/2024
CONR2,Contract Resources,AUD,Karen Riddell,COD,"Unit 305, 30-40 Harcourt Parade, Rosebery NSW 2018 Australia","Unit 305, 30-40 Harcourt Parade, Rosebery NSW 2018 Australia",29/06/2020,,
COPL8,Nationwide Traffic Surveys Pty Ltd,AUD,Karen Riddell,COD,"PO Box 1016, Clayton South VIC 3169 Australia","3 Trevethic Road, Springvale VIC 3171 Australia",25/02/2022,27/02/2022,27/02/2022
COSC2,Cobar Shire & TAFE Library,AUD,Karen Riddell,Net 30 Days,"39 Marshall Street, Cobar NSW 2835 Australia","39 Marshall Street, Cobar NSW 2835 Australia",14/07/2021,15/07/2021,15/07/2021
COSC6,Geoscan Pty Ltd,AUD,Jennifer Chen,COD,"Unit 1, 127 Grandstand Road, Ascot WA 6104 Australia","Unit 1, 127 Grandstand Road, Ascot WA 6104 Australia",29/06/2020,,
COSO6,Connect Source,AUD,Karen Riddell,COD,"27 Elliott Street, Midvale WA 6056 Australia","27 Elliott Street, Midvale WA 6056 Australia",29/06/2020,,
COSW6,City of Swan,AUD,Karen Riddell,Net 30 Days,"PO Box 196, Midland DC WA 6936 Australia","141 Great Northern Highway, Middle Swan WA 6056 Australia",12/05/2023,,
COSYN2U,Control Synergy Pty Ltd,USD,Jennifer Chen,COD,"Unit 2 / 5 Cobbans Close, BERESFIELD NSW 2322 Australia","Unit 2 / 5 Cobbans Close, BERESFIELD NSW 2322 Australia",16/06/2025,29/07/2025,29/07/2025
COTE2,Cognian Technologies,AUD,Jennifer Chen,30 Days EOM,"Building B  Unit 2, 64 Talavera Road, Macquarie Park NSW 2113 Australia","Building B  Unit 2, 64 Talavera Road, Macquarie Park NSW 2113 Australia",29/06/2020,,
COTE2U,Cognian Technologies,USD,Jennifer Chen,Net 30 Days,"PO Box 301, Petersham NSW  Australia","PO Box 301, Petersham NSW  Australia",29/06/2020,30/06/2020,31/03/2023
COVS8,Retpro Management Pl Corio Villange Shopping Centre,AUD,Kurt Schober,Net 30 Days,Australia,Australia,29/06/2020,,
COWO2,Concrete World Industries,AUD,Karen Riddell,COD,"2 Rosulyn Street, Dubbo NSW 2830 Australia","2 Rosulyn Street, Dubbo NSW 2830 Australia",29/06/2020,3/06/2021,3/06/2021
COWO8,City of Wodonga,AUD,Karen Riddell,Net 30 Days,"PO Box 922, Wodonga VIC  Australia","104 Hovell Street, Wodonga VIC 3690 Australia",19/03/2024,,
CPAE2,Complete Parts & Equipment,AUD,Karen Riddell,COD,"PO Box 391, Singleton NSW 2330 Australia","1 Caswell Terrace, Singleton NSW 2330 Australia",20/08/2024,10/09/2024,10/09/2024
CPAE8,City of Port Adelaide - Enfield,AUD,Karen Riddell,COD,"PO Box 110, Port Adelaide SA 5015 Australia","PO Box 110, Port Adelaide SA 5015 Australia",29/06/2020,,
CPBSAM,John Holland CPB Contractors,AUD,Karen Riddell,Net 30 Days,"PO Box 556, Fortitude Valley QLD 4006 Australia","110 Collwood Road, Lake Macdonald QLD 4363 Australia",28/10/2020,4/11/2020,4/11/2020
CPGR6,Ches Power Group Pty Ltd,AUD,Karen Riddell,COD,"236 Barrington Street, Bibra Lakes WA 6163 Australia","236 Barrington Street, Bibra Lakes WA 6163 Australia",21/03/2024,22/03/2024,25/07/2024
CQLD8C,Sunnyside Mall (Do not use),AUD,Kurt Schober,Net 30 Days,Australia,Australia,29/06/2020,,
CQPI4,CQ Pump And Irrigation,AUD,Karen Riddell,COD,"17-19 Hicks Street, Emerald QLD 4720 Australia","17-19 Hicks Street, Emerald QLD 4720 Australia",29/06/2020,17/05/2023,31/10/2024
CRAM2,Cram Fluid Power Pty Ltd,AUD,Karen Riddell,Net 30 Days,"11 Enterprise Drive, Tomago NSW 2322 Australia","11 Enterprise Drive, Tomago NSW 2322 Australia",29/06/2020,,
CRBE5,Crowell Benson & Co Pty Ltd,AUD,Karen Riddell,COD,"7 Bollen Street, Kilkenny SA 5009 Australia","7 Bollen Street, Kilkenny SA 5009 Australia",29/06/2020,,
CRES2,Capabilities Resources,AUD,Karen Riddell,COD,"Unit 2/20 Shipley Drive, Rutherford NSW 2320 Australia","Unit 2/20 Shipley Drive, Rutherford NSW 2320 Australia",29/06/2020,,
CRGT8,CRG Traffic & Acoustics Pty Ltd,AUD,Karen Riddell,COD,"2/24 Surfers Ave, Mermaid Waters QLD 4218 Australia","2/24 Surfers Ave, Mermaid Waters QLD 4218 Australia",29/06/2020,,
CRSL8,Caloundra Sub-Branch RSL Club,AUD,Kurt Schober,Net 30 Days,"19 West Terrace, Cloundra QLD 4551 Australia","19 West Terrace, Cloundra QLD 4551 Australia",29/06/2020,1/07/2020,23/07/2025
CRSV8,CREDIBLE SECURITY AND VISION,AUD,Kurt Schober,Net 30 Days,"1/10 Ponderosa Parade, Warriewood NSW 2102 Australia","1/10 Ponderosa Parade, Warriewood NSW 2102 Australia",1/07/2020,30/06/2020,15/10/2021
CRWH4,Cruise Whitsundays,AUD,Karen Riddell,COD,"15 Loop Road, Jubilee Pocket QLD 4802 Australia","15 Loop Road, Jubilee Pocket QLD 4802 Australia",29/06/2020,,
CSCO2D,Cowra Shire Council,AUD,Karen Riddell,Net 30 Days,"Private Bag 342, Cowra NSW 2794 Australia","Cnr Young Rd & Fishburn Street, Cowra NSW 2794 Australia",10/06/2021,22/06/2021,13/05/2025
CSCO8,CARDWELL SHIRE COUNCIL,AUD,Karen Riddell,30 Days EOM,Australia,Australia,1/07/2020,30/06/2020,30/06/2020
CSCO8A,Carrathool Shire Council,AUD,Karen Riddell,Net 30 Days,"9-11 Cobham Street, Goolgowi NSW 2652 Australia","9-11 Cobram Street, Goolgowi NSW 2652 Australia",29/06/2020,10/11/2020,3/04/2025
CSCO8B,Cook Shire Council,AUD,Karen Riddell,Net 30 Days,"10 Furneaux Street, Cooktown QLD 4895 Australia","10 Furneaux Street, Cooktown QLD 4895 Australia",29/06/2020,10/02/2021,24/03/2025
CSHCO8,THE TRUSTEE FOR THE NEW SOUTH WALES (NSW) CASH CONVERTERS UNIT TRUST,AUD,Kurt Schober,Net 30 Days,"Unit 5, 1 Sappho Road, Warwick Farm NSW 2170 Australia",Australia,18/05/2021,25/05/2021,23/07/2025
CSHCO8-2500-001,Cash Converters Wollongong,AUD,Kurt Schober,Net 30 Days,"Unit 5, 1 Sappho Road, Warwick Farm NSW 2170 Australia","242 Crown St, Wollongong NSW 2500 Australia",23/06/2023,26/06/2023,29/04/2025
CSIT4,Cairns SIM Trans Pty Ltd,AUD,Karen Riddell,COD,"PO Box 499, Redlynch QLD  Australia","14 Hollingsworth Street, Portsmith QLD 4870 Australia",3/03/2025,3/03/2025,3/03/2025
CSSO3,Central Systems Solutions,AUD,Jennifer Chen,COD,"11 Stan Street, Clifton Hill VIC 3068 Australia","11 Stan Street, Clifton Hill VIC 3068 Australia",29/06/2020,,
CTCO2,Country Traders & Construction,AUD,Karen Riddell,COD,"3288 Middlearm Road, Roslyn NSW 2580 Australia","3288 Middlearm Road, Roslyn NSW 2580 Australia",29/06/2020,,
CTSC8,QIC Ltd Aft QIC Castle Towers,AUD,Kurt Schober,Net 30 Days,"C/-CBRE Pty Ltd Locked Bag 2003, Archerfield QLD 4108 Australia","6-14 Castle Street, Castle Hill NSW 2154 Australia",29/06/2020,30/06/2020,24/11/2021
CUCO3,Current Consulting P/L,AUD,Jennifer Chen,COD,"Unit 82, 63-85 Turner Street, Port Melbourne VIC 3207 Australia","Unit 82, 63-85 Turner Street, Port Melbourne VIC 3207 Australia",29/06/2020,,
CUCP4,CUC Pty Ltd,AUD,Karen Riddell,COD,"22 Helen Street, Teneriffe QLD 4005 Australia","22 Helen Street, Teneriffe QLD 4005 Australia",29/06/2020,,
CUFL4,Custom Fluid Power,AUD,Karen Riddell,COD,"36 Huntington Place, Banyo QLD 4014 Australia","36 Huntington Place, Banyo QLD 4014 Australia",21/01/2025,,
CUSP0,Cummins South Pacific Pty Ltd,AUD,Karen Riddell,COD,"492-494 Victoria Street, Wetherill Park NSW 2164 Australia","3 Export Drive, East Arm NT 0822 Australia",29/06/2020,9/09/2020,15/07/2025
CUTECU,Cubic Technologies Singapore Pte Ltd,USD,Jennifer Chen,PIA,"401 Commonwealth Drive,, #04-02/03 Haw Par Technocentre  149598 Singapore","401 Commonwealth Drive,, #04-02/03 Haw Par Technocentre  149598 Singapore",25/06/2021,3/12/2021,4/05/2023
CUUN8,Curtin University,AUD,Kurt Schober,Net 30 Days,"208 Kent Street, Bentley WA 6102 Australia","Building 105 Library Stores Kent St, BENTLEY WA 6102 Australia",29/06/2020,1/07/2020,4/08/2021
CWAW8,Wagga  Wagga City Council,AUD,Karen Riddell,Net 30 Days,"PO Box 202, Wagga Wagga NSW 2650 Australia","155 Fernleigh Rd, Glenfield Park NSW 2650 Australia",29/06/2020,24/11/2020,31/07/2024
CWBL4,Custom Water Blasters,AUD,Karen Riddell,COD,"109 Balnagowan Mandarana Rd, The Leap QLD 4740 Australia","109 Balnagowan Mandarana Rd, The Leap QLD 4740 Australia",29/06/2020,,
CWDI2,Central West Diesel,AUD,Karen Riddell,COD,"18 - 20 Parks Road, Forbes NSW 2871 Australia","18 - 20 Parks Road, Forbes NSW 2871 Australia",29/06/2020,,
CWPL8,Central West Shopping Centre,AUD,Kurt Schober,Net 30 Days,"65-67 Ashley Street, Braybrook VIC 3019 Australia","65-67 Ashley Street, Braybrook VIC 3019 Australia",29/06/2020,,
CWSE2,Central Wide Services,AUD,Karen Riddell,COD,"113 Hansen's Road, Tumbi Umbi NSW 2261 Australia","113 Hansen's Road, Tumbi Umbi NSW 2261 Australia",29/06/2020,,
CYBE0,Cyber Media Sarl,USD,Anthony Cuoco,COD,"224 Rue J.Lekawe Centre-Commercial La Belle Vie, B.P. 30502-98895   New Caledonia","224 Rue J.Lekawe Centre-Commercial La Belle Vie, B.P. 30502-98895   New Caledonia",29/06/2020,27/10/2021,27/10/2021
CYBE0A,Cyber Media Sarl,AUD,Anthony Cuoco,COD,"224 Rue J.Lekawe Centre-Commercial La Belle Vie, B.P. 30502-98895   New Caledonia","224 Rue J.Lekawe Centre-Commercial La Belle Vie, B.P. 30502-98895   New Caledonia",29/06/2020,,
DAGR2,Davcor Group,AUD,Jennifer Chen,Net 30 Days,"14 John Hines Avenue, Minchinbury NSW 2770 Australia","14 John Hines Avenue, Minchinbury NSW 2770 Australia",29/06/2020,6/11/2020,16/07/2025
DAIS4,Diesel and Industrial Engine Spares,AUD,Karen Riddell,Net 30 Days,"PO Box 259, Ellen Grove QLD 4078 Australia","110 Mica Street, Carole Park QLD 4300 Australia",22/08/2022,22/08/2022,24/01/2025
DANB2,Danbray Pty Ltd,AUD,Karen Riddell,Net 30 Days,"228 Edgecliff Road, Woollahra NSW 2025 Australia","228 Edgecliff Road, Woollahra NSW 2025 Australia",29/06/2020,30/06/2020,12/02/2025
DASY4,Data Audit Systems,AUD,Karen Riddell,COD,"5 Jet Street, Upper Coomera QLD 4209 Australia","5 Jet Street, Upper Coomera QLD 4209 Australia",29/06/2020,30/06/2020,2/04/2025
DCCO2,Western Plains Regional,AUD,Karen Riddell,COD,"Hawthorn Street, Dubbo QLD 4405 Australia","Hawthorn Street, Dubbo QLD 4405 Australia",29/06/2020,,
DCLM0,Data Collection Ltd,AUD,Jennifer Chen,COD,"Manufactuers of Romdas 8C Bentinck St, New Lynn, Auckland   New Zealand","Manufactuers of Romdas 8C Bentinck St, New Lynn, Auckland   New Zealand",29/06/2020,,
DCRO8,District Council of Robes,AUD,Karen Riddell,Net 30 Days,"PO Box 1, Robe SA 5276 Australia","3 Royal Circus, Robe SA 5276 Australia",21/09/2023,16/10/2023,7/11/2023
DDIL2,Ddi Labs Pty Ltd,AUD,Jennifer Chen,COD,"22 Hemmings Street, Penrith NSW 2750 Australia","22 Hemmings Street, Penrith NSW 2750 Australia",29/06/2020,,
DEBE4,Debetrek,AUD,Jennifer Chen,Net 30 Days,"18 Armada Place, Banyo QLD 4014 Australia","18 Armada Place, Banyo QLD 4014 Australia",29/06/2020,,
DEBE4U,Debetrek,USD,Jennifer Chen,Net 30 Days,"18 Armada Place, Banyo QLD 4014 Australia","Unit 13/380 Somerville Road, West Footscray VIC 3012 Australia",29/06/2020,29/07/2020,6/08/2025
DECO6,Diesel Engine Company,AUD,Karen Riddell,Net 7 Days,"Unit 8, 12-16 Stanhope Gardens, Midvale WA 6056 Australia","Unit 8, 12-16 Stanhope Gardens, Midvale WA 6056 Australia",29/06/2020,,
DEDE5,Department Of Defence,AUD,Jennifer Chen,30 Days EOM,"Maratime Patrol Spt Prog Off RAAF Base, Edinburgh SA 5111 Australia","DSTG, Advanced Propulsion & Weapons Effect 1.H.23 Building.205, 3rd Avenue, Edinburgh SA 5111 Australia",29/06/2020,,
DEEA4,DesignEars Pty Ltd,AUD,Karen Riddell,COD,"4 Pasadena Ct, Alexandra Hills QLD 4161 Australia",Alexandra Hills QLD 4161 Australia,24/01/2024,11/03/2024,11/03/2024
DEEL0,Delta Electrics,AUD,Karen Riddell,COD,"PO Box 38471, Winnellie NT 821 Australia","154 Coonawara Road, Winnellie NT 821 Australia",29/06/2020,,
DEEW5,Department for Environment and Water,AUD,Karen Riddell,Net 30 Days,"155 Main North Road, Clare SA 5453 Australia","155 Main North Road, Clare SA 5453 Australia",29/02/2024,13/03/2024,27/06/2025
DEEW5A,Department for Environment and Water,AUD,Karen Riddell,Net 30 Days,"28 Vaughn Tce, Berri SA 5343 Australia","28 Vaughn Tce, Berri SA 5343 Australia",1/05/2024,11/06/2024,20/06/2025
DEMA7,Deman Pty Ltd,AUD,Karen Riddell,COD,"Suite 166, Brighton TAS 7030 Australia","Brighton Industrial Estate, BRIDGEWATER TAS 7030 Australia",3/07/2024,4/07/2024,4/07/2024
DEMO3,Deutz Australia Pty.Ltd.,AUD,Karen Riddell,Net 30 Days,"136-140 South Park Drive, Dandenong South VIC 3175 Australia","136-140 South Park Drive, Dandenong South VIC 3175 Australia",29/06/2020,20/04/2021,7/03/2025
DENI2,Deni Sand and Soil/Civil Construction,AUD,Karen Riddell,COD,"273 Barham Road, Deniliquin NSW 2710 Australia","273 Barham Road, Deniliquin NSW 2710 Australia",31/07/2025,,
DEPWS8,"Dept.Environment, Parks & Water Security",AUD,Karen Riddell,Net 30 Days,"PO Box 452, Kununurra WA 6743 Australia","89 Coolibah Dr, Kununurra WA 6743 Australia",8/03/2021,8/03/2021,9/06/2021
DESE2,diesel engine & spares,AUD,Karen Riddell,COD,"1/D Lytton Road, Mossvale NSW 2577 Australia","1/D Lytton Road, Mossvale NSW 2577 Australia",29/06/2020,,
DESP4,Diesel Engine Service,AUD,Karen Riddell,COD,"26 Raynham Street, Salisbury QLD 4107 Australia","26 Raynham Street, Salisbury QLD 4107 Australia",29/06/2020,27/10/2020,13/07/2021
DESQ4,Department of Environment & Science,AUD,Karen Riddell,Net 30 Days,"9105 Cunningham Highway, Tregony QLD 4370 Australia","9105 Cunningham Highway, Tregony QLD 4370 Australia",23/11/2021,24/11/2021,24/11/2021
DETE3,Decon Technologies,AUD,Karen Riddell,COD,"207 Colchester Road, Kilsyth VIC 3137 Australia","207 Colchester Road, Kilsyth VIC 3137 Australia",29/06/2020,,
DETG2,Defcon Technologies Group P/L,AUD,Karen Riddell,COD,"44 Maryborough Street, Fyshwick ACT 2609 Australia","44 Maryborough Street, Fyshwick ACT 2609 Australia",29/06/2020,15/02/2022,15/02/2022
DETP2,Design To Production,AUD,Kurt Schober,Net 30 Days,"Unit 10, 92 Belmore Road, Riverwood NSW 2210 Australia","92 - 100  Belmore Road, Riverwood NSW 2210 Australia",14/03/2024,4/04/2024,4/08/2025
DEW8C,Department Environment and Water,AUD,Karen Riddell,Net 30 Days,"3 Eyre Terrace, Victor Harbour SA 5211 Australia","3 Eyre Terrace, Victor Harbour SA 5211 Australia",9/01/2024,,
DEWA8A,Dept. of Environment & Water,AUD,Karen Riddell,Net 30 Days,"74 Railway Terrace North, Lameroo SA 5302 Australia","74 Railway Terrace North, Lameroo SA 5302 Australia",29/06/2020,30/06/2020,9/04/2024
DEWA8B,Department for Environment & Water,AUD,Karen Riddell,Net 30 Days,"PO Box 2343, Murray Bridge SA 5253 Australia","110A Mannum Rd, Murray Bridge SA 5253 Australia",8/06/2021,28/09/2021,28/09/2021
DEWNR8,Dept. for Environment & Water,AUD,Karen Riddell,Net 30 Days,"PO Box 78, Port Augusta SA 5700 Australia","PMB 5 Via Innaminka, Leigh Creek SA 5731 Australia",14/01/2021,18/01/2021,11/12/2023
DEWSA5,Blackhill Conservation Park,AUD,Karen Riddell,Net 30 Days,"115 Maryvale Road, Athelstone SA 5076 Australia","115 Marylvale Road, Athelstone SA 5076 Australia",5/12/2024,7/01/2025,7/01/2025
DFOC8A,DEKA AUST MGT ONE PTY LTD,AUD,Kurt Schober,30 Days EOM,Australia,Australia,1/07/2020,30/06/2020,30/06/2020
DFSY4,Dayshelf Fire Systems,AUD,Karen Riddell,COD,"Unit 2/12 - 14 Expo Court, Southport QLD 4215 Australia","Unit 2/12 - 14 Expo Court, Southport QLD 4215 Australia",29/06/2020,,
DGMS2,Diesel Gas & Marine Systems Pl,AUD,Karen Riddell,COD,"350 Seven Hills Road, Seven Hills NSW 2147 Australia","350 Seven Hills Road, Seven Hills NSW 2147 Australia",29/06/2020,,
DIAG0,Diesel Agencies (Wa Empson Limited T/As),AUD,Karen Riddell,COD,"PO Box 50-317, Porirua   New Zealand","DHL A/C SAP 1301522214,    New Zealand",29/06/2020,20/02/2025,20/02/2025
DIAI0,Darwin International Airport,AUD,Jennifer Chen,COD,"1 Fenton Court, Eaton NT 820 Australia","1 Fenton Court, Eaton NT 820 Australia",29/06/2020,30/06/2020,30/06/2020
DIAI2,Digital Air Control Pty Ltd,AUD,Jennifer Chen,COD,"PO  Box 609, Epping NSW 1710 Australia","PO  Box 609, Epping NSW 1710 Australia",29/06/2020,,
DICA2,Monitor Industries Pty Ltd,AUD,Karen Riddell,Net 30 Days,"143 Gunnedah Road, Tamworth NSW 2340 Australia","143 Gunnedah Road, Tamworth NSW 2340 Australia",4/10/2022,6/10/2022,30/11/2023
DICT4,Diesel Care Toowoomba,AUD,Karen Riddell,COD,"20 Pechey Street, Toowoomba QLD 4350 Australia","20 Pechey Street, Toowoomba QLD 4350 Australia",29/06/2020,31/08/2021,31/08/2021
DIDR2,Diesel Drive Pty Ltd,AUD,Karen Riddell,Net 30 Days,"353 Newbridge Road, Moorebank NSW 2170 Australia","353 Newbridge Road, Moorebank NSW 2170 Australia",29/06/2020,30/06/2020,14/05/2025
DIFA0,Dingdings Farms Sdn. Bhd,AUD,Jennifer Chen,COD,"Batu 8 Jalan Damar Lautsegari Lumut Perak, Malaysia   Malaysia","Batu 8 Jalan Damar Lautsegari Lumut Perak, Malaysia   Malaysia",29/06/2020,20/07/2020,9/10/2020
DIIN0,Diesel Injection,AUD,Karen Riddell,COD,"Unit 2, 4 Roni Court, Winnellie NT 820 Australia","Unit 2, 4 Roni Court, Winnellie NT 820 Australia",29/06/2020,,
DIPA6,Digsilent Pacific,AUD,Karen Riddell,COD,"Suite 10 Level 2, 189 St Georges Terrace, Perth WA 6000 Australia","Suite 10 Level 2, 189 St Georges Terrace, Perth WA 6000 Australia",29/06/2020,,
DISTEC,Discovery Technology Pty Ltd,AUD,Kurt Schober,Net 30 Days,"Level 8/100 Arthur Street, North Sydney NSW 2060 Australia","Level 8/100 Arthur Street, North Sydney NSW 2060 Australia",1/02/2023,2/06/2023,2/06/2023
DIVO3,Bluefish Technologies P/L,AUD,Jennifer Chen,Net 30 Days,"93 Howard Street, North Melbourne VIC 3051 Australia","93 Howard Street, North Melbourne VIC 3051 Australia",29/06/2020,19/08/2020,19/08/2020
DIVO3U,Bluefish Technologies P/L,USD,Jennifer Chen,Net 30 Days,"42 Howard Street, North Melbourne VIC 3051 Australia","42 Howard Street, North Melbourne VIC 3051 Australia",26/11/2021,5/01/2022,4/06/2024
DNOW4,Maclean International Group(Australia) Pty Ltd,AUD,Karen Riddell,COD,"1425 Boundary Road, Wacol QLD 4076 Australia","1425 Boundary Road, Wacol QLD 4076 Australia",21/05/2024,23/07/2025,23/07/2025
DOWNER,Downer EDI Rail,AUD,Jennifer Chen,Net 30 Days,"Trinity Business Campus Level 2 Trinity 1, North Ryde, NSW 2113 Australia","Trinity Business Campus Level 2 Trinity 1, North Ryde, NSW 2113 Australia",29/06/2020,8/11/2022,8/11/2022
DPDI2,Diesel Parts Direct,AUD,Karen Riddell,COD,"23 Sir Henry Parkes Avenue, Medowie NSW 2318 Australia","23 Sir Henry Parkes Avenue, Medowie NSW 2318 Australia",29/06/2020,20/07/2020,15/03/2022
DPSE4,Diesel Parts & Service P/L,AUD,Karen Riddell,Net 30 Days,"PO Box 147, Hamilton QLD 4007 Australia","PO Box 147, Hamilton QLD 4007 Australia",29/06/2020,30/06/2020,11/07/2025
DRBO2,Dril-Bourn,AUD,Karen Riddell,COD,"25 Harpers Hill Lane, Harpers Hill NSW 2321 Australia","25 Harpers Hill Lane, Harpers Hill NSW 2321 Australia",12/07/2023,12/07/2023,26/03/2025
DREN3,Dressage Engineering,AUD,Jennifer Chen,COD,"32 Goodyear Ave, Thomastown VIC 3074 Australia","32 Goodyear Ave, Thomastown VIC 3074 Australia",8/07/2020,14/09/2020,14/09/2020
DRTE4,Drill Techniques Service Pty Ltd,AUD,Karen Riddell,COD,"25 Duntroon Street, Brendale QLD 4500 Australia","25 Duntroon Street, Brendale QLD 4500 Australia",7/04/2025,7/04/2025,7/04/2025
DSCO2A,Dungog Shire Council,AUD,Karen Riddell,Net 30 Days,"PO Box 95, Dungog NSW 2420 Australia","PO Box 95, Dungog NSW 2420 Australia",29/06/2020,15/10/2020,25/02/2025
DSDS3,D And S Diesel Services,AUD,Karen Riddell,COD,"39 Cameron Street, Cranbourne VIC 3977 Australia","39 Cameron Street, Cranbourne VIC 3977 Australia",29/06/2020,,
DSSC8,Canberra Outlet Centre,AUD,Kurt Schober,Net 30 Days,Australia,Australia,29/06/2020,30/06/2020,30/06/2020
DUCI4,Durack Civil Pty Ltd,AUD,Karen Riddell,COD,"PO Box 517, Tugan QLD 4224 Australia","Opposite  - 1 Rifle Range Road Cnr Lismore Road & Rifle Range Road, Bangalow NSW 2479 Australia",27/05/2024,28/05/2024,28/05/2024
DUPH2,Dubbo Powerhouse Pty Ltd,AUD,Karen Riddell,Net 30 Days,"1/9 Hawthorn Street, Dubbo NSW 2830 Australia","1/9 Hawthorn Street, Dubbo NSW 2830 Australia",1/02/2021,1/02/2021,20/11/2024
DURC8,Dubbo Regional Council,AUD,Karen Riddell,Net 30 Days,"Hawthorn Street, Dubbo NSW 2830 Australia","Cnr Church & Darling Streets, Dubbo NSW 2830 Australia",21/04/2021,22/04/2021,21/05/2025
EAAU4,use S00398,AUD,Karen Riddell,COD,"4 Pasadena Crt, Alexandra Hills QLD 4161 Australia","4 Pasadena Crt, Alexandra Hills QLD 4161 Australia",29/06/2020,12/03/2021,13/07/2023
EACI2,Earth Civil,AUD,Karen Riddell,COD,"Lot 2 Wonga Road, Picton NSW 2571 Australia","Lot 2 Wonga Road, Picton NSW 2571 Australia",29/06/2020,,
EACT2,Environment Planning & Sustainable Development,AUD,Karen Riddell,COD,"1541 Cotter Road, Casuarina Sands NSW 2611 Australia","1541 Cotter Road, Casuarina Sands NSW 2611 Australia",29/06/2020,,
EAEX4,Eagle Exports Australia P/L,AUD,Karen Riddell,COD,"Unit 1/18 Gravel Pit Road, Darra QLD 4076 Australia","Unit 1/18 Gravel Pit Road, Darra QLD 4076 Australia",29/06/2020,12/08/2020,12/08/2024
ECGE3,East Coast Generators,AUD,Karen Riddell,Net 30 Days,"83-89 Westgate Drive, Altona North VIC 3025 Australia","83-89 Westgate Drive, Altona North VIC 3025 Australia",17/04/2024,17/04/2024,17/04/2024
ECK2010,Eckersleys Darlinghurst,AUD,Kurt Schober,Net 30 Days,"223/225 Oxford St, Darlinghurst NSW 2010 Australia","223/225 Oxford St, Darlinghurst NSW 2010 Australia",11/05/2023,19/05/2023,19/05/2023
ECK2150,Eckersleys Parramatta,AUD,Kurt Schober,Net 30 Days,Australia,"286 Church Street, Parramatta NSW 2150 Australia",12/05/2022,31/05/2022,15/11/2022
ECK2154,Eckersley's Castle Hill,AUD,Kurt Schober,Net 30 Days,"7-13 Victoria Avenue, Castle Hill NSW 2154 Australia",Australia,24/10/2022,19/01/2023,19/01/2023
ECK2560,Eckersley's Macarthur Square,AUD,Kurt Schober,Net 30 Days,"Level 3, Macarthur Square, Ambarvale NSW 2560 Australia","Level 3, Macarthur Square, Ambarvale NSW 2560 Australia",7/08/2023,7/09/2023,7/09/2023
ECK2606,Eckersleys Phillip,AUD,Kurt Schober,Net 30 Days,Australia,"21 Colbee Court, Phillip ACT 2606 Australia",18/03/2021,1/04/2021,17/10/2022
ECK2650,Eckersley's Wagga,AUD,Kurt Schober,Net 30 Days,"130 Baylis St, Wagga Wagga NSW 2650 Australia","130 Baylis St, Wagga Wagga NSW 2650 Australia",9/08/2023,1/09/2023,1/09/2023
ECK3181,Eckersleys Prahran,AUD,Kurt Schober,Net 30 Days,"120-126 Commercial Rd, Prahran VIC 3181 Australia","120-126 Commercial Rd, Prahran VIC 3181 Australia",18/03/2021,1/04/2021,15/11/2022
ECK4000,Eckersleys Brisbane CBD,AUD,Kurt Schober,Net 30 Days,Australia,"41-43 Adelaide Street, Brisbane QLD 4000 Australia",18/03/2021,1/04/2021,1/04/2021
ECK4030,Eckersley Lutwyche,AUD,Kurt Schober,Net 30 Days,Australia,"546 Lutwyche Road, Lutwyche QLD 4030 Australia",18/03/2021,1/04/2021,1/04/2021
ECK4114,Eckersleys Underwood,AUD,Kurt Schober,Net 30 Days,Australia,"42-44 Compton Rd, woodridge QLD 4114 Australia",18/03/2021,1/04/2021,1/04/2021
ECK4575,Eckersleys Minyama,AUD,Kurt Schober,Net 30 Days,"Shop 11 Cnr Nicklin Way and, Kensington Dr, Minyama QLD 4575 Australia","Shop 11 Cnr Nicklin Way and, Kensington Dr, Minyama QLD 4575 Australia",5/06/2023,27/06/2023,27/06/2023
ECKE2022,Eckersley's Bondi Junction,AUD,Kurt Schober,Net 30 Days,"500 Oxford Street, Bondi Junction NSW 2022 Australia","500 Oxford Street, Bondi Junction NSW 2022 Australia",8/10/2021,30/11/2021,15/11/2022
